# FATOŞ KAYNAK SİTE / TARAMA DURUMU
# Güncelleme: 2026-09-22T22:48:55+00:00
# id | durum | sayfa | kaynak | tür | hata
1 | completed | 1 | https://raw.githubusercontent.com/CanNuhlar/Turkce-Kelime-Listesi/master/turkce_kelime_listesi.txt | web | 
2 | completed | 1 | https://raw.githubusercontent.com/UniversalDependencies/UD_Turkish-Kenet/master/tr_kenet-ud-train.conllu | web | 
3 | completed | 1 | https://raw.githubusercontent.com/UniversalDependencies/UD_Turkish-Kenet/master/tr_kenet-ud-test.conllu | web | 
4 | completed | 1 | https://raw.githubusercontent.com/UniversalDependencies/UD_Turkish-FrameNet/master/tr_framenet-ud-train.conllu | web | 
5 | failed | 2 | https://tr.wikipedia.org/ | web | ClientResponseError(RequestInfo(url=URL('https://tr.wikipedia.org/wiki/Vikipedi:Hakk%C4%B1nda'), method='GET', headers=<CIMultiDictProxy('Host': 'tr.wikipedia.org', 'User-Agent': 'Fatos-Turkce-Ogrenme/4.0 (+automatic-source-discovery)', 'Accept': '*/*', 'Accept-Encoding': 'gzip, deflate, br', 'Cooki
6 | completed | 1 | https://sozluk.gov.tr/ | web | 
7 | completed | 1 | https://www.tdk.gov.tr/ | web | 
8 | failed | 0 | https://www.aa.com.tr/tr | web | ClientOSError(104, 'Connection reset by peer')
9 | in_progress | 0 | https://www.trthaber.com/ | web | 
10 | in_progress | 0 | https://www.ntv.com.tr/ | web | 
11 | completed | 1 | https://shop.wikimedia.org/ | web | 
12 | failed | 0 | https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=tr.wikipedia.org&uselang=tr | web | ClientResponseError(RequestInfo(url=URL('https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=tr.wikipedia.org&uselang=tr'), method='GET', headers=<CIMultiDictProxy('Host': 'donate.wikimedia.org', 'User-Agent': 'Fatos-Turkce-Ogrenme/4.0 (+automatic-source-discovery)', 'Acc
13 | in_progress | 0 | https://abstract.wikipedia.org/wiki/Abstract_Wikipedia:Main_page | web | 
14 | in_progress | 0 | https://commons.wikimedia.org/wiki/Main_Page | web | 
15 | in_progress | 0 | https://foundation.wikimedia.org/wiki/Home | web | 
16 | failed | 1 | https://www.mediawiki.org/wiki/MediaWiki | web | ClientResponseError(RequestInfo(url=URL('https://www.mediawiki.org/wiki/Download'), method='GET', headers=<CIMultiDictProxy('Host': 'www.mediawiki.org', 'User-Agent': 'Fatos-Turkce-Ogrenme/4.0 (+automatic-source-discovery)', 'Accept': '*/*', 'Accept-Encoding': 'gzip, deflate, br', 'Cookie': 'GeoIP=U
17 | in_progress | 0 | https://meta.wikimedia.org/wiki/Main_Page | web | 
18 | in_progress | 0 | https://outreach.wikimedia.org/wiki/Main_Page | web | 
19 | in_progress | 0 | https://wikisource.org/wiki/Wikisource:Main_Page | web | 
20 | in_progress | 0 | https://species.wikimedia.org/wiki/Main_Page | web | 
21 | failed | 1 | https://tr.wikibooks.org/wiki/Anasayfa | web | ClientResponseError(RequestInfo(url=URL('https://tr.wikibooks.org/wiki/Vikikitap:Topluluk_portali'), method='GET', headers=<CIMultiDictProxy('Host': 'tr.wikibooks.org', 'User-Agent': 'Fatos-Turkce-Ogrenme/4.0 (+automatic-source-discovery)', 'Accept': '*/*', 'Accept-Encoding': 'gzip, deflate, br', 'C
22 | in_progress | 0 | https://www.wikidata.org/wiki/Wikidata:Main_Page | web | 
23 | in_progress | 0 | https://www.wikifunctions.org/wiki/Wikifunctions:Main_Page | web | 
24 | in_progress | 0 | https://wikimania.wikimedia.org/wiki/Wikimania | web | 
25 | in_progress | 0 | https://tr.wikinews.org/wiki/Anasayfa | web | 
26 | failed | 1 | https://tr.wikiquote.org/wiki/Anasayfa | web | ClientResponseError(RequestInfo(url=URL('https://tr.wikiquote.org/wiki/Vikis%C3%B6z:Topluluk_portali'), method='GET', headers=<CIMultiDictProxy('Host': 'tr.wikiquote.org', 'User-Agent': 'Fatos-Turkce-Ogrenme/4.0 (+automatic-source-discovery)', 'Accept': '*/*', 'Accept-Encoding': 'gzip, deflate, br',
27 | in_progress | 0 | https://tr.wikisource.org/wiki/Anasayfa | web | 
28 | in_progress | 0 | https://tr.wikivoyage.org/wiki/Anasayfa | web | 
29 | in_progress | 0 | https://tr.wiktionary.org/wiki/Vikis%C3%B6zl%C3%BCk:Anasayfa | web | 
30 | in_progress | 0 | https://ab.wikipedia.org/wiki/%D0%90%D0%B2%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0:%D0%9E%D0%BF%D0%B8%D1%81%D0%B0%D0%BD%D0%B8%D0%B5 | web | 
31 | failed | 3 | https://af.wikipedia.org/wiki/Wikipedia:Omtrent | web | ClientResponseError(RequestInfo(url=URL('https://af.wikipedia.org/wiki/Spesiaal:Onlangse_wysigings'), method='GET', headers=<CIMultiDictProxy('Host': 'af.wikipedia.org', 'User-Agent': 'Fatos-Turkce-Ogrenme/4.0 (+automatic-source-discovery)', 'Accept': '*/*', 'Accept-Encoding': 'gzip, deflate, br', '
32 | in_progress | 0 | https://als.wikipedia.org/wiki/Wikipedia:Iber_Wikipedia | web | 
33 | in_progress | 0 | https://alt.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%88%D0%B0%D1%80%D1%82%D0%B0%D0%BC%D0%B0%D0%BB%D1%8B | web | 
34 | in_progress | 0 | https://an.wikipedia.org/wiki/Wikipedia:Sobre | web | 
35 | in_progress | 0 | https://anp.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A5%80%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE:%E0%A4%AA%E0%A4%B0%E0%A4%BF%E0%A4%9A%E0%A4%AF | web | 
36 | failed | 0 | https://ar.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D8%B9%D9%86 | web | ClientResponseError(RequestInfo(url=URL('https://ar.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D8%B9%D9%86'), method='GET', headers=<CIMultiDictProxy('Host': 'ar.wikipedia.org', 'User-Agent': 'Fatos-Turkce-Ogrenme/4.0 (+automatic-source-discovery)', 'Accept': '*/*', '
37 | in_progress | 0 | https://ary.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D9%BE%D9%8A%D8%AF%D9%8A%D8%A7:%D8%B9%D9%84%D9%89 | web | 
38 | in_progress | 0 | https://arz.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA_%D8%B9%D9%86 | web | 
39 | in_progress | 0 | https://as.wikipedia.org/wiki/%E0%A7%B1%E0%A6%BF%E0%A6%95%E0%A6%BF%E0%A6%AA%E0%A6%BF%E0%A6%A1%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE:%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%AC%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%A4 | web | 
40 | in_progress | 0 | https://ast.wikipedia.org/wiki/Wikipedia:Tocante_a | web | 
41 | completed | 1 | https://store.wikimedia.org/collections/25th-birthday-collection | web | 
42 | completed | 1 | https://store.wikimedia.org/collections/featured | web | 
43 | completed | 1 | https://store.wikimedia.org/collections/classic-collection | web | 
44 | completed | 1 | https://store.wikimedia.org/collections/farewell-collection | web | 
45 | completed | 1 | https://store.wikimedia.org/collections/all-products | web | 
46 | completed | 1 | https://store.wikimedia.org/collections/apparel | web | 
47 | completed | 1 | https://store.wikimedia.org/collections/accessories | web | 
48 | completed | 1 | https://store.wikimedia.org/collections/collaborations-1 | web | 
49 | completed | 1 | https://store.wikimedia.org/account/login | web | 
50 | completed | 1 | https://diff.wikimedia.org/tech-blog | web | 
51 | failed | 0 | https://developer.wikimedia.org/ | web | ClientResponseError(RequestInfo(url=URL('https://developer.wikimedia.org/'), method='GET', headers=<CIMultiDictProxy('Host': 'developer.wikimedia.org', 'User-Agent': 'Fatos-Turkce-Ogrenme/4.0 (+automatic-source-discovery)', 'Accept': '*/*', 'Accept-Encoding': 'gzip, deflate, br', 'Cookie': 'GeoIP=US
52 | in_progress | 0 | https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=www.mediawiki.org&uselang=en | web | 
53 | in_progress | 0 | https://commons.wikimedia.org/wiki/Special:UploadWizard | web | 
54 | in_progress | 0 | https://en.wikibooks.org/wiki/Main_Page | web | 
55 | in_progress | 0 | https://en.wikinews.org/wiki/Main_Page | web | 
56 | failed | 3 | https://en.wikipedia.org/wiki/Main_Page | web | ClientResponseError(RequestInfo(url=URL('https://en.wikipedia.org/wiki/Special:Random'), method='GET', headers=<CIMultiDictProxy('Host': 'en.wikipedia.org', 'User-Agent': 'Fatos-Turkce-Ogrenme/4.0 (+automatic-source-discovery)', 'Accept': '*/*', 'Accept-Encoding': 'gzip, deflate, br', 'Cookie': 'Geo
57 | in_progress | 0 | https://en.wikiquote.org/wiki/Main_Page | web | 
58 | in_progress | 0 | https://en.wikisource.org/wiki/Main_Page | web | 
59 | in_progress | 0 | https://www.wikidata.org/wiki/Special:NewItem?site=mediawikiwiki&page=Download | web | 
60 | in_progress | 0 | https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=tr.wikibooks.org&uselang=tr | web | 
61 | failed | 0 | https://commons.wikimedia.org/wiki/Special:UploadWizard?uselang=tr | web | ClientResponseError(RequestInfo(url=URL('https://commons.wikimedia.org/wiki/Special:UploadWizard?uselang=tr'), method='GET', headers=<CIMultiDictProxy('Host': 'commons.wikimedia.org', 'User-Agent': 'Fatos-Turkce-Ogrenme/4.0 (+automatic-source-discovery)', 'Accept': '*/*', 'Accept-Encoding': 'gzip, d
62 | in_progress | 0 | https://tr.wikipedia.org/wiki/Anasayfa | web | 
63 | in_progress | 0 | https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=tr.wikiquote.org&uselang=tr | web | 
64 | in_progress | 0 | https://www.wikidata.org/wiki/Special:EntityPage/Q5296 | web | 
65 | in_progress | 0 | https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=af.wikipedia.org&uselang=af | web | 
66 | failed | 0 | https://az.wikipedia.org/wiki/Vikipediya:Haqq%C4%B1nda | web | ClientResponseError(RequestInfo(url=URL('https://az.wikipedia.org/wiki/Vikipediya:Haqq%C4%B1nda'), method='GET', headers=<CIMultiDictProxy('Host': 'az.wikipedia.org', 'User-Agent': 'Fatos-Turkce-Ogrenme/4.0 (+automatic-source-discovery)', 'Accept': '*/*', 'Accept-Encoding': 'gzip, deflate, br', 'Coo
67 | in_progress | 0 | https://azb.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%E2%80%8C%D9%BE%D8%AF%DB%8C%D8%A7:%D8%A8%DB%8C%D9%84%DB%8C%DA%A9%D9%84%DB%8C%DA%A9_%D8%A7%DB%8C%D9%84%D9%87_%D8%AA%D8%A7%D9%86%DB%8C%D8%B4%D9%84%DB%8C%D9%82 | web | 
68 | in_progress | 0 | https://ba.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%A2%D0%B0%D1%81%D1%83%D0%B8%D1%80%D0%BB%D0%B0%D0%BC%D0%B0 | web | 
69 | in_progress | 0 | https://bar.wikipedia.org/wiki/Wikipedia:Iba_Wikipedia | web | 
70 | in_progress | 0 | https://bcl.wikipedia.org/wiki/Wikipedia:Manungod | web | 
71 | failed | 0 | https://be-tarask.wikipedia.org/wiki/%D0%92%D1%96%D0%BA%D1%96%D0%BF%D1%8D%D0%B4%D1%8B%D1%8F:%D0%9F%D1%80%D0%B0_%D0%92%D1%96%D0%BA%D1%96%D0%BF%D1%8D%D0%B4%D1%8B%D1%8E | web | ClientResponseError(RequestInfo(url=URL('https://be-tarask.wikipedia.org/wiki/%D0%92%D1%96%D0%BA%D1%96%D0%BF%D1%8D%D0%B4%D1%8B%D1%8F:%D0%9F%D1%80%D0%B0_%D0%92%D1%96%D0%BA%D1%96%D0%BF%D1%8D%D0%B4%D1%8B%D1%8E'), method='GET', headers=<CIMultiDictProxy('Host': 'be-tarask.wikipedia.org', 'User-Agent': '
72 | in_progress | 0 | https://be.wikipedia.org/wiki/%D0%92%D1%96%D0%BA%D1%96%D0%BF%D0%B5%D0%B4%D1%8B%D1%8F:%D0%A8%D1%82%D0%BE_%D1%82%D0%B0%D0%BA%D0%BE%D0%B5_%D1%81%D0%B2%D0%B0%D0%B1%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F_%D1%8D%D0%BD%D1%86%D1%8B%D0%BA%D0%BB%D0%B0%D0%BF%D0%B5%D0%B4%D1%8B%D1%8F | web | 
